Sl.No,Date,vehicle_category,maker,electric_vehicles_sold
804,01-03-2024,2-Wheelers,OLA ELECTRIC,44630
766,01-02-2024,2-Wheelers,OLA ELECTRIC,33967
728,01-01-2024,2-Wheelers,OLA ELECTRIC,32275
690,01-12-2023,2-Wheelers,OLA ELECTRIC,30588
652,01-11-2023,2-Wheelers,OLA ELECTRIC,29980
430,01-05-2023,2-Wheelers,OLA ELECTRIC,29447
805,01-03-2024,2-Wheelers,TVS,26158
615,01-10-2023,2-Wheelers,OLA ELECTRIC,23968
393,01-04-2023,2-Wheelers,OLA ELECTRIC,22548
791,01-03-2023,2-Wheelers,OLA ELECTRIC,22398
431,01-05-2023,2-Wheelers,TVS,20188
715,01-01-2023,2-Wheelers,OLA ELECTRIC,20148
504,01-07-2023,2-Wheelers,OLA ELECTRIC,19409
541,01-08-2023,2-Wheelers,OLA ELECTRIC,18983
578,01-09-2023,2-Wheelers,OLA ELECTRIC,18926
653,01-11-2023,2-Wheelers,TVS,18914
467,01-06-2023,2-Wheelers,OLA ELECTRIC,17768
753,01-02-2023,2-Wheelers,OLA ELECTRIC,17762
807,01-03-2024,2-Wheelers,BAJAJ,17716
806,01-03-2024,2-Wheelers,ATHER,17012
677,01-12-2022,2-Wheelers,OLA ELECTRIC,16919
795,01-03-2023,2-Wheelers,TVS,16896
616,01-10-2023,2-Wheelers,TVS,16309
639,01-11-2022,2-Wheelers,OLA ELECTRIC,15797
579,01-09-2023,2-Wheelers,TVS,15425
602,01-10-2022,2-Wheelers,OLA ELECTRIC,15391
542,01-08-2023,2-Wheelers,TVS,15296
432,01-05-2023,2-Wheelers,ATHER,15243
729,01-01-2024,2-Wheelers,TVS,15153
603,01-10-2022,2-Wheelers,OKINAWA,14950
767,01-02-2024,2-Wheelers,TVS,14431
779,01-03-2022,2-Wheelers,HERO ELECTRIC,13652
381,01-04-2022,2-Wheelers,OLA ELECTRIC,13601
757,01-02-2023,2-Wheelers,TVS,12671
642,01-11-2022,2-Wheelers,AMPERE,12446
796,01-03-2023,2-Wheelers,ATHER,12180
691,01-12-2023,2-Wheelers,TVS,12171
655,01-11-2023,2-Wheelers,BAJAJ,11769
769,01-02-2024,2-Wheelers,BAJAJ,11603
382,01-04-2022,2-Wheelers,OKINAWA,11341
731,01-01-2024,2-Wheelers,BAJAJ,10753
434,01-05-2023,2-Wheelers,AMPERE,10659
816,01-03-2024,2-Wheelers,OTHERS,10579
719,01-01-2023,2-Wheelers,TVS,10462
418,01-05-2022,2-Wheelers,OKINAWA,10340
693,01-12-2023,2-Wheelers,BAJAJ,10292
505,01-07-2023,2-Wheelers,TVS,10272
605,01-10-2022,2-Wheelers,AMPERE,10113
758,01-02-2023,2-Wheelers,ATHER,10069
433,01-05-2023,2-Wheelers,BAJAJ,9976
530,01-08-2022,2-Wheelers,HERO ELECTRIC,9925
794,01-03-2023,2-Wheelers,AMPERE,9736
664,01-11-2023,2-Wheelers,OTHERS,9707
681,01-12-2022,2-Wheelers,TVS,9363
493,01-07-2022,2-Wheelers,HERO ELECTRIC,9334
417,01-05-2022,2-Wheelers,OLA ELECTRIC,9266
730,01-01-2024,2-Wheelers,ATHER,9244
720,01-01-2023,2-Wheelers,ATHER,9224
654,01-11-2023,2-Wheelers,ATHER,9220
784,01-03-2022,2-Wheelers,OLA ELECTRIC,9143
640,01-11-2022,2-Wheelers,OKINAWA,9068
641,01-11-2022,2-Wheelers,HERO ELECTRIC,9026
618,01-10-2023,2-Wheelers,BAJAJ,8960
768,01-02-2024,2-Wheelers,ATHER,8957
604,01-10-2022,2-Wheelers,HERO ELECTRIC,8868
397,01-04-2023,2-Wheelers,AMPERE,8767
529,01-08-2022,2-Wheelers,OKINAWA,8756
394,01-04-2023,2-Wheelers,TVS,8654
780,01-03-2022,2-Wheelers,OKINAWA,8586
566,01-09-2022,2-Wheelers,OKINAWA,8497
492,01-07-2022,2-Wheelers,OKINAWA,8394
617,01-10-2023,2-Wheelers,ATHER,8375
703,01-01-2022,2-Wheelers,HERO ELECTRIC,8238
567,01-09-2022,2-Wheelers,HERO ELECTRIC,8208
643,01-11-2022,2-Wheelers,TVS,8147
679,01-12-2022,2-Wheelers,HERO ELECTRIC,8100
565,01-09-2022,2-Wheelers,OLA ELECTRIC,8065
644,01-11-2022,2-Wheelers,ATHER,7837
741,01-02-2022,2-Wheelers,HERO ELECTRIC,7773
468,01-06-2023,2-Wheelers,TVS,7772
395,01-04-2023,2-Wheelers,ATHER,7707
682,01-12-2022,2-Wheelers,ATHER,7693
702,01-12-2023,2-Wheelers,OTHERS,7691
455,01-06-2022,2-Wheelers,OKINAWA,7554
628,01-11-2021,2-Wheelers,HERO ELECTRIC,7493
607,01-10-2022,2-Wheelers,ATHER,7356
580,01-09-2023,2-Wheelers,ATHER,7107
627,01-10-2023,2-Wheelers,OTHERS,7092
543,01-08-2023,2-Wheelers,ATHER,7065
581,01-09-2023,2-Wheelers,BAJAJ,7019
457,01-06-2022,2-Wheelers,AMPERE,6919
384,01-04-2022,2-Wheelers,AMPERE,6864
456,01-06-2022,2-Wheelers,HERO ELECTRIC,6836
494,01-07-2022,2-Wheelers,AMPERE,6812
383,01-04-2022,2-Wheelers,HERO ELECTRIC,6803
591,01-10-2021,2-Wheelers,HERO ELECTRIC,6799
531,01-08-2022,2-Wheelers,AMPERE,6771
554,01-09-2021,2-Wheelers,HERO ELECTRIC,6727
781,01-03-2022,2-Wheelers,AMPERE,6666
740,01-01-2024,2-Wheelers,OTHERS,6664
793,01-03-2023,2-Wheelers,HERO ELECTRIC,6661
442,01-05-2023,2-Wheelers,OTHERS,6627
360,01-03-2024,4-Wheelers,Tata Motors,6606
506,01-07-2023,2-Wheelers,ATHER,6604
544,01-08-2023,2-Wheelers,BAJAJ,6508
568,01-09-2022,2-Wheelers,AMPERE,6488
692,01-12-2023,2-Wheelers,ATHER,6471
532,01-08-2022,2-Wheelers,TVS,6426
665,01-12-2021,2-Wheelers,HERO ELECTRIC,6402
717,01-01-2023,2-Wheelers,HERO ELECTRIC,6399
570,01-09-2022,2-Wheelers,ATHER,6280
666,01-12-2021,2-Wheelers,OKINAWA,6184
420,01-05-2022,2-Wheelers,AMPERE,6176
778,01-02-2024,2-Wheelers,OTHERS,6154
742,01-02-2022,2-Wheelers,OKINAWA,6122
756,01-02-2023,2-Wheelers,AMPERE,6003
454,01-06-2022,2-Wheelers,OLA ELECTRIC,5897
755,01-02-2023,2-Wheelers,HERO ELECTRIC,5863
606,01-10-2022,2-Wheelers,TVS,5820
704,01-01-2022,2-Wheelers,OKINAWA,5737
651,01-11-2022,2-Wheelers,OTHERS,5693
307,01-01-2024,4-Wheelers,Tata Motors,5674
