Sl.no,Date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
1,01-04-2021,Sikkim,2-Wheelers,0,398
2,01-04-2021,Sikkim,4-Wheelers,0,361
3,01-05-2021,Sikkim,2-Wheelers,0,113
4,01-05-2021,Sikkim,4-Wheelers,0,98
5,01-06-2021,Sikkim,2-Wheelers,0,229
6,01-06-2021,Sikkim,4-Wheelers,0,244
7,01-07-2021,Sikkim,2-Wheelers,0,458
8,01-07-2021,Sikkim,4-Wheelers,0,452
9,01-08-2021,Sikkim,2-Wheelers,0,489
10,01-08-2021,Sikkim,4-Wheelers,0,408
11,01-09-2021,Sikkim,2-Wheelers,0,540
12,01-09-2021,Sikkim,4-Wheelers,0,355
13,01-10-2021,Sikkim,2-Wheelers,0,455
14,01-10-2021,Sikkim,4-Wheelers,0,345
15,01-11-2021,Sikkim,2-Wheelers,0,478
16,01-11-2021,Sikkim,4-Wheelers,0,351
17,01-12-2021,Sikkim,2-Wheelers,0,454
18,01-12-2021,Sikkim,4-Wheelers,0,394
19,01-01-2022,Sikkim,2-Wheelers,0,400
20,01-01-2022,Sikkim,4-Wheelers,0,270
21,01-02-2022,Sikkim,2-Wheelers,0,384
22,01-02-2022,Sikkim,4-Wheelers,0,371
23,01-03-2022,Sikkim,2-Wheelers,0,460
24,01-03-2022,Sikkim,4-Wheelers,0,390
25,01-04-2022,Sikkim,2-Wheelers,0,455
26,01-04-2022,Sikkim,4-Wheelers,0,380
27,01-05-2022,Sikkim,2-Wheelers,0,461
28,01-05-2022,Sikkim,4-Wheelers,0,421
29,01-06-2022,Sikkim,2-Wheelers,0,429
30,01-06-2022,Sikkim,4-Wheelers,0,446
31,01-07-2022,Sikkim,2-Wheelers,0,409
32,01-07-2022,Sikkim,4-Wheelers,0,439
33,01-08-2022,Sikkim,2-Wheelers,0,394
34,01-08-2022,Sikkim,4-Wheelers,0,421
35,01-09-2022,Sikkim,2-Wheelers,0,443
36,01-09-2022,Sikkim,4-Wheelers,0,581
37,01-10-2022,Sikkim,2-Wheelers,0,371
38,01-10-2022,Sikkim,4-Wheelers,0,340
39,01-11-2022,Sikkim,2-Wheelers,0,431
40,01-11-2022,Sikkim,4-Wheelers,0,411
41,01-12-2022,Sikkim,2-Wheelers,0,274
42,01-12-2022,Sikkim,4-Wheelers,0,288
43,01-01-2023,Sikkim,2-Wheelers,0,470
44,01-01-2023,Sikkim,4-Wheelers,0,420
45,01-02-2023,Sikkim,2-Wheelers,0,324
46,01-02-2023,Sikkim,4-Wheelers,0,364
47,01-03-2023,Sikkim,2-Wheelers,0,454
48,01-03-2023,Sikkim,4-Wheelers,0,505
49,01-04-2023,Sikkim,2-Wheelers,0,465
50,01-04-2023,Sikkim,4-Wheelers,0,439
51,01-05-2023,Sikkim,2-Wheelers,0,507
52,01-05-2023,Sikkim,4-Wheelers,0,448
53,01-06-2023,Sikkim,2-Wheelers,0,517
54,01-06-2023,Sikkim,4-Wheelers,0,457
55,01-07-2023,Sikkim,2-Wheelers,0,423
56,01-07-2023,Sikkim,4-Wheelers,0,371
57,01-08-2023,Sikkim,2-Wheelers,0,465
58,01-08-2023,Sikkim,4-Wheelers,0,460
59,01-09-2023,Sikkim,2-Wheelers,0,546
60,01-09-2023,Sikkim,4-Wheelers,0,509
61,01-10-2023,Sikkim,2-Wheelers,0,398
62,01-10-2023,Sikkim,4-Wheelers,0,389
63,01-11-2023,Sikkim,2-Wheelers,0,470
64,01-11-2023,Sikkim,4-Wheelers,0,403
65,01-12-2023,Sikkim,2-Wheelers,0,365
66,01-12-2023,Sikkim,4-Wheelers,0,318
67,01-01-2024,Sikkim,2-Wheelers,0,509
68,01-01-2024,Sikkim,4-Wheelers,0,422
69,01-02-2024,Sikkim,2-Wheelers,0,408
70,01-02-2024,Sikkim,4-Wheelers,0,375
71,01-03-2024,Sikkim,2-Wheelers,0,399
72,01-03-2024,Sikkim,4-Wheelers,0,455
73,01-04-2021,Andaman & Nicobar Island,2-Wheelers,0,515
74,01-04-2021,Arunachal Pradesh,2-Wheelers,0,1256
75,01-04-2021,Arunachal Pradesh,4-Wheelers,0,724
76,01-04-2021,Assam,4-Wheelers,0,6576
77,01-04-2021,Chhattisgarh,4-Wheelers,0,1563
78,01-04-2021,DNH and DD,4-Wheelers,0,278
79,01-04-2021,Jammu and Kashmir,4-Wheelers,0,5107
80,01-04-2021,Ladakh,2-Wheelers,0,2
81,01-04-2021,Ladakh,4-Wheelers,0,20
82,01-04-2021,Manipur,4-Wheelers,0,808
83,01-04-2021,Meghalaya,2-Wheelers,0,1189
84,01-04-2021,Mizoram,2-Wheelers,0,1507
85,01-04-2021,Mizoram,4-Wheelers,0,281
86,01-04-2021,Nagaland,2-Wheelers,0,561
87,01-04-2021,Nagaland,4-Wheelers,0,747
88,01-04-2021,Puducherry,4-Wheelers,0,655
89,01-04-2021,Tripura,2-Wheelers,0,2906
90,01-04-2021,Tripura,4-Wheelers,0,289
91,01-05-2021,Andaman & Nicobar Island,2-Wheelers,0,4
92,01-05-2021,Andaman & Nicobar Island,4-Wheelers,0,1
93,01-05-2021,Arunachal Pradesh,2-Wheelers,0,552
94,01-05-2021,Arunachal Pradesh,4-Wheelers,0,302
95,01-05-2021,Assam,2-Wheelers,0,14723
96,01-05-2021,Assam,4-Wheelers,0,3295
97,01-05-2021,Bihar,4-Wheelers,0,2249
98,01-05-2021,Chandigarh,2-Wheelers,0,411
99,01-05-2021,Chhattisgarh,4-Wheelers,0,1387
100,01-05-2021,DNH and DD,2-Wheelers,0,452
101,01-05-2021,DNH and DD,4-Wheelers,0,202
102,01-05-2021,Delhi,2-Wheelers,0,22
103,01-05-2021,Delhi,4-Wheelers,0,21
104,01-05-2021,Jammu and Kashmir,4-Wheelers,0,2372
105,01-05-2021,Ladakh,2-Wheelers,0,11
106,01-05-2021,Ladakh,4-Wheelers,0,70
107,01-05-2021,Madhya Pradesh,4-Wheelers,0,195
108,01-05-2021,Manipur,2-Wheelers,0,288
109,01-05-2021,Manipur,4-Wheelers,0,9
110,01-05-2021,Meghalaya,2-Wheelers,0,332
111,01-05-2021,Mizoram,2-Wheelers,0,15
112,01-05-2021,Mizoram,4-Wheelers,0,4
113,01-05-2021,Nagaland,2-Wheelers,0,125
114,01-05-2021,Nagaland,4-Wheelers,0,126
115,01-05-2021,Odisha,4-Wheelers,0,722
116,01-05-2021,Punjab,4-Wheelers,0,5202
117,01-05-2021,Tripura,2-Wheelers,0,2063
118,01-05-2021,Tripura,4-Wheelers,0,192
119,01-05-2021,Uttarakhand,4-Wheelers,0,1145
120,01-06-2021,Andaman & Nicobar Island,2-Wheelers,0,2
121,01-06-2021,Arunachal Pradesh,2-Wheelers,0,727
